"Stock Number","Status","Full VIN","Car Color","Year","Asking","Required Down","Condition","Payments","Interest Rate","Payment","Make","Model","Type","Body Type","Trim","gvw","Cycles","Fuel Type","SiriusXM","Features","Mileage","Days in Inventory","Transmission Type","Logo","Level"
"3167","GREEN TAG","4T1BE46KX7U169919","GRAY","2007","15999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","TOYOTA","CAMRY","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.4L; DOHC","GASOLINE","False","","76779","90","AUTOMATIC","1781","False"
"3190","GREEN TAG","3FAHP0GA0CR334858","SILVER","2012","13999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","FORD","FUSION","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.5L","GASOLINE","False","","112003","76","AUTOMATIC","1781","False"
"3193","GREEN TAG","2T3BF4DV3AW060341","SILVER","2010","17999","999","RWB Certified","104","19.9%","""=PMT(J2/26,I2,H2)""","TOYOTA","RAV4","MULTIPURPOSE VEHICLE (MPV)","4 DOOR WAGON","","0","L4, 2.5L","GASOLINE","False","","101810","76","AUTOMATIC","1781","False"
"3194","GREEN TAG","2T1BU40E39C025932","BLACK","2009","13999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","TOYOTA","COROLLA","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 1.8L; DOHC 16V; VVT-I","GASOLINE","False","","109561","76","AUTOMATIC","1781","False"
"3198","GREEN TAG","2G1WB58N489109797","GOLD","2008","13999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","IMPALA","PASSENGER CAR","4 DOOR SEDAN","","0","V6, 3.5L; SFI","GASOLINE","True","","80376","71","AUTOMATIC","1781","False"
"3201","GREEN TAG","4T1BE46K47U165221","GOLD","2007","12999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","TOYOTA","CAMRY","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.4L; DOHC","GASOLINE","False","","137349","70","","1781","False"
"3204","GREEN TAG","2G1WB57N591190942","SILVER","2009","14999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","IMPALA","PASSENGER CAR","4 DOOR SEDAN","","0","V6, 3.5L; SFI","GASOLINE","True","","56247","69","AUTOMATIC","1781","False"
"3210","GREEN TAG","JTKKT624460131744","SILVER","2006","11999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","SCION","XA","PASSENGER CAR","HATCHBACK","","0","L4, 1.5L","GASOLINE","False","","93731","69","AUTOMATIC","1781","False"
"3211","GREEN TAG","KMHDN46D15U110779","TAN","2005","8999","395","Budget Blvd","78","19.9%","""=PMT(J2/26,I2,H2)""","HYUNDAI","ELANTRA","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.0L; DOHC","GASOLINE","False","","126536","69","AUTOMATIC","1783","Blue"
"3213","GREEN TAG","1FAFP34P83W215535","SILVER","2003","8999","395","Budget Blvd","78","19.9%","""=PMT(J2/26,I2,H2)""","FORD","FOCUS","PASSENGER CAR","SEDAN","","0","L4, 2.0L (121 CID); SOHC 8V; EFI-SPI","GASOLINE","False","","91191","69","AUTOMATIC","1783","Blue"
"3216","GREEN TAG","2T1BU4EE5BC713753","SILVER","2011","14999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","TOYOTA","COROLLA","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 1.8L; DOHC 16V; VVT-I","GASOLINE","False","","105884","69","AUTOMATIC","1781","False"
"3218","GREEN TAG","1FAHP3FN4BW158141","WHITE","2011","9999","395","Budget Blvd","78","19.9%","""=PMT(J2/26,I2,H2)""","FORD","FOCUS","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.0L; DOHC 16V","GASOLINE","True","","144095","64","AUTOMATIC","1783","Blue"
"3219","GREEN TAG","1C3CDZAB8EN116082","SILVER","2014","14999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","DODGE","AVENGER","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.4L","GASOLINE","False","","93430","64","AUTOMATIC","1781","False"
"3223","GREEN TAG","1G1ZA5EU0CF268201","TAN","2012","14999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","MALIBU","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.4L; FFV; DOHC","GASOLINE/E85","False","","78154","63","AUTOMATIC","1781","False"
"3226","GREEN TAG","1G1ZA5EU7CF313652","BLUE","2012","14999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","MALIBU","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.4L; FFV; DOHC","GASOLINE/E85","False","","81778","63","AUTOMATIC","1781","False"
"3228","GREEN TAG","1G1ZA5EU0CF387821","SILVER","2012","14999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","MALIBU","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.4L; FFV; DOHC","GASOLINE/E85","False","","82403","63","AUTOMATIC","1781","False"
"3229","GREEN TAG","2G1WA5E39E1135389","SILVER","2014","14999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","IMPALA LIMITED","PASSENGER CAR","4 DOOR SEDAN","","0","V6, 3.6L; FFV; DOHC","GASOLINE/E85","False","","78374","63","AUTOMATIC","1781","False"
"3230","GREEN TAG","2G1WF5E34D1266195","GRAY","2013","14999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","IMPALA","PASSENGER CAR","4 DOOR","","0","V6, 3.6L; FFV; DOHC","GASOLINE/E85","True","","83813","63","AUTOMATIC","1781","False"
