Stock Number,Status,Full VIN,Car Color,Year,Asking,Required Down,Condition,Payments,Interest Rate,Payment,Make,Model,Type,Body Type,Trim,gvw,Cycles,Fuel Type,SiriusXM,Features,Mileage,Days in Inventory,Transmission Type,,Logo
3167,GREEN TAG,4T1BE46KX7U169919,GRAY,2007,15999,699,RWB Certified,91,19.90%,$244.74 ,TOYOTA,CAMRY,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.4L; DOHC",GASOLINE,FALSE,,76779,87,AUTOMATIC,,1781
3190,GREEN TAG,3FAHP0GA0CR334858,SILVER,2012,13999,399,RWB Certified,91,19.90%,$214.14 ,FORD,FUSION,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.5L",GASOLINE,FALSE,,112003,73,AUTOMATIC,,1781
3193,GREEN TAG,2T3BF4DV3AW060341,SILVER,2010,17999,999,RWB Certified,104,19.90%,$251.62 ,TOYOTA,RAV4,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,0,"L4, 2.5L",GASOLINE,FALSE,,101810,73,AUTOMATIC,,1781
3194,GREEN TAG,2T1BU40E39C025932,BLACK,2009,13999,399,RWB Certified,91,19.90%,$214.14 ,TOYOTA,COROLLA,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 1.8L; DOHC 16V; VVT-I",GASOLINE,FALSE,,109561,73,AUTOMATIC,,1781
3201,GREEN TAG,4T1BE46K47U165221,GOLD,2007,12999,399,RWB Certified,91,19.90%,$198.85 ,TOYOTA,CAMRY,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.4L; DOHC",GASOLINE,FALSE,,137349,67,,,1781
3204,GREEN TAG,2G1WB57N591190942,SILVER,2009,14999,699,RWB Certified,91,19.90%,$229.44 ,CHEVROLET,IMPALA,PASSENGER CAR,4 DOOR SEDAN,,0,"V6, 3.5L; SFI",GASOLINE,TRUE,,56247,66,AUTOMATIC,,1781
3210,GREEN TAG,JTKKT624460131744,SILVER,2006,11999,399,RWB Certified,91,19.90%,$183.55 ,SCION,XA,PASSENGER CAR,HATCHBACK,,0,"L4, 1.5L",GASOLINE,FALSE,,93731,66,AUTOMATIC,,1781
3211,GREEN TAG,KMHDN46D15U110779,TAN,2005,8999,395,Budget Blvd,78,19.90%,$153.64 ,HYUNDAI,ELANTRA,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.0L; DOHC",GASOLINE,FALSE,,126536,66,AUTOMATIC,,1783
3213,GREEN TAG,1FAFP34P83W215535,SILVER,2003,8999,395,Budget Blvd,78,19.90%,$153.64 ,FORD,FOCUS,PASSENGER CAR,SEDAN,,0,"L4, 2.0L (121 CID); SOHC 8V; EFI-SPI",GASOLINE,FALSE,,91191,66,AUTOMATIC,,1783
3216,GREEN TAG,2T1BU4EE5BC713753,SILVER,2011,14999,699,RWB Certified,91,19.90%,$229.44 ,TOYOTA,COROLLA,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 1.8L; DOHC 16V; VVT-I",GASOLINE,FALSE,,105884,66,AUTOMATIC,,1781
3218,GREEN TAG,1FAHP3FN4BW158141,WHITE,2011,9999,395,Budget Blvd,78,19.90%,$170.72 ,FORD,FOCUS,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.0L; DOHC 16V",GASOLINE,TRUE,,144095,61,AUTOMATIC,,1783
3219,GREEN TAG,1C3CDZAB8EN116082,SILVER,2014,14999,699,RWB Certified,91,19.90%,$229.44 ,DODGE,AVENGER,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.4L",GASOLINE,FALSE,,93430,61,AUTOMATIC,,1781
3223,GREEN TAG,1G1ZA5EU0CF268201,TAN,2012,14999,699,RWB Certified,91,19.90%,$229.44 ,CHEVROLET,MALIBU,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.4L; FFV; DOHC",GASOLINE/E85,FALSE,,78154,60,AUTOMATIC,,1781
3226,GREEN TAG,1G1ZA5EU7CF313652,BLUE,2012,14999,699,RWB Certified,91,19.90%,$229.44 ,CHEVROLET,MALIBU,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.4L; FFV; DOHC",GASOLINE/E85,FALSE,,81778,60,AUTOMATIC,,1781
3228,GREEN TAG,1G1ZA5EU0CF387821,SILVER,2012,14999,699,RWB Certified,91,19.90%,$229.44 ,CHEVROLET,MALIBU,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.4L; FFV; DOHC",GASOLINE/E85,FALSE,,82403,60,AUTOMATIC,,1781
3229,GREEN TAG,2G1WA5E39E1135389,SILVER,2014,14999,699,RWB Certified,91,19.90%,$229.44 ,CHEVROLET,IMPALA LIMITED,PASSENGER CAR,4 DOOR SEDAN,,0,"V6, 3.6L; FFV; DOHC",GASOLINE/E85,FALSE,,78374,60,AUTOMATIC,,1781
3230,GREEN TAG,2G1WF5E34D1266195,GRAY,2013,14999,699,RWB Certified,91,19.90%,$229.44 ,CHEVROLET,IMPALA,PASSENGER CAR,4 DOOR,,0,"V6, 3.6L; FFV; DOHC",GASOLINE/E85,TRUE,,83813,60,AUTOMATIC,,1781
3231,GREEN TAG,2G1WF5E34C1261254,GOLD,2012,13999,399,RWB Certified,91,19.90%,$214.14 ,CHEVROLET,IMPALA,PASSENGER CAR,4 DOOR SEDAN,,0,"V6, 3.6L; FFV; DOHC",GASOLINE/E85,FALSE,,85349,60,AUTOMATIC,,1781
3232,GREEN TAG,2G1WA5E31E1149996,GRAY,2014,14999,699,RWB Certified,91,19.90%,$229.44 ,CHEVROLET,IMPALA LIMITED,PASSENGER CAR,4 DOOR SEDAN,,0,"V6, 3.6L; FFV; DOHC",GASOLINE/E85,FALSE,,71645,60,AUTOMATIC,,1781
3237,GREEN TAG,1G1AL55F487236846,WHITE,2008,11999,399,RWB Certified,91,19.90%,$183.55 ,CHEVROLET,COBALT,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.2L; DOHC",GASOLINE,FALSE,,112194,60,AUTOMATIC,,1781
3244,GREEN TAG,1J8FF48B79D158033,BLACK,2009,16999,699,RWB Certified,91,19.90%,$260.03 ,JEEP,PATRIOT,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,0,"L4, 2.4L; DOHC 16V",GASOLINE,TRUE,,83685,52,AUTOMATIC,,1781
3246,GREEN TAG,KMHCN46CX9U286190,BLACK,2009,12999,399,RWB Certified,91,19.90%,$198.85 ,HYUNDAI,ACCENT,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 1.6L",GASOLINE,FALSE,,71175,52,AUTOMATIC,,1781
3248,GREEN TAG,1J8GR48K37C537299,BLUE,2007,15999,699,RWB Certified,91,19.90%,$244.74 ,JEEP,GRAND CHEROKEE,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,0,"V6, 3.7L (225 CID)",GASOLINE,FALSE,,109100,52,AUTOMATIC,,1781
3252,GREEN TAG,2B3KA43R08H239225,BLUE,2008,13999,399,RWB Certified,91,19.90%,$214.14 ,DODGE,CHARGER,PASSENGER CAR,4 DOOR SEDAN,,0,"V6, 2.7L; FFV; DOHC 24V",GASOLINE/E85,TRUE,,117448,47,AUTOMATIC,,1781
3253,GREEN TAG,3FAFP07176R109431,GRAY,2006,11999,399,RWB Certified,91,19.90%,$183.55 ,FORD,FUSION,PASSENGER CAR,4 DOOR SEDAN,,0,"V6, 3.0L",GASOLINE,FALSE,,128238,47,AUTOMATIC,,1781
3256,GREEN TAG,2G1WG5E30D1215385,SILVER,2013,14999,699,RWB Certified,91,19.90%,$229.44 ,CHEVROLET,IMPALA,PASSENGER CAR,4 DOOR SEDAN,,0,"V6, 3.6L; FFV; DOHC",GASOLINE/E85,TRUE,,95705,47,AUTOMATIC,,1781
3258,GREEN TAG,1G1PC5SB4E7325419,RED,2014,17999,999,RWB Certified,104,19.90%,$251.62 ,CHEVROLET,CRUZE,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 1.4L; FFV; DOHC; VVT; TURBO",GASOLINE/E85,TRUE,,49722,40,6 SPEED AUTOMATIC,,1781
3259,GREEN TAG,KNAFU4A2XD5740585,GRAY,2013,15999,699,RWB Certified,91,19.90%,$244.74 ,KIA,FORTE,PASSENGER CAR,4 DOOR SEDAN,,0,"L4, 2.0L; DOHC",GASOLINE,TRUE,,53850,40,AUTOMATIC,,1781
3263,GREEN TAG,3GNEK13TX3G261882,GREEN,2003,18999,999,RWB Certified,104,19.90%,$265.60 ,CHEVROLET,AVALANCHE,PICKUP TRUCK,4 DOOR CAB; CREW,,0,"V8, 5.3L",GASOLINE,FALSE,,117591,40,AUTOMATIC,,1781
3268,GREEN TAG,1J4GR48K95C712315,BLUE,2005,13999,399,RWB Certified,91,19.90%,$214.14 ,JEEP,GRAND CHEROKEE,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,0,"V6, 3.7L (225 CID)",GASOLINE,TRUE,,137553,33,AUTOMATIC,,1781
3281,GREEN TAG,2T3BF4DV9BW113268,BLUE,2011,16999,999,RWB Certified,104,19.90%,$237.64 ,TOYOTA,RAV4,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,0,"L4, 2.5L",GASOLINE,FALSE,,119416,24,AUTOMATIC,,1781
