Stock Number,Status,Condition,Certified Logo,Full VIN,Car Color,Year, Asking ,Required Down,Term,Payments,Payment,Rate,Make,Model,Type,Body Type,Trim,Cycles,Fuel Type, Mileage ,Days in Inventory,Transmission Type
3190,GREEN TAG,RWB Certified,1445,3FAHP0GA0CR334858,SILVER,2012,"13,999.00",399,3.5,91,$214.14 ,19.90%,FORD,FUSION,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.5L",GASOLINE,"112,003",72,AUTOMATIC
3193,GREEN TAG,RWB Certified,1445,2T3BF4DV3AW060341,SILVER,2010,"17,999.00",999,4,104,$251.62 ,19.90%,TOYOTA,RAV4,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,"L4, 2.5L",GASOLINE,"101,810",72,AUTOMATIC
3194,GREEN TAG,RWB Certified,1445,2T1BU40E39C025932,BLACK,2009,"13,999.00",399,3.5,91,$214.14 ,19.90%,TOYOTA,COROLLA,PASSENGER CAR,4 DOOR SEDAN,,"L4, 1.8L; DOHC 16V; VVT-I",GASOLINE,"109,561",72,AUTOMATIC
3201,GREEN TAG,RWB Certified,1445,4T1BE46K47U165221,GOLD,2007,"12,999.00",399,3.5,91,$198.85 ,19.90%,TOYOTA,CAMRY,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.4L; DOHC",GASOLINE,"137,349",66,
3204,GREEN TAG,RWB Certified,1445,2G1WB57N591190942,SILVER,2009,"14,999.00",699,3.5,91,$229.44 ,19.90%,CHEVROLET,IMPALA,PASSENGER CAR,4 DOOR SEDAN,,"V6, 3.5L; SFI",GASOLINE,"56,247",65,AUTOMATIC
3210,GREEN TAG,RWB Certified,1445,JTKKT624460131744,SILVER,2006,"11,999.00",399,3.5,91,$183.55 ,19.90%,SCION,XA,PASSENGER CAR,HATCHBACK,,"L4, 1.5L",GASOLINE,"93,731",65,AUTOMATIC
3211,GREEN TAG,Budget Blvd,2511,KMHDN46D15U110779,TAN,2005,"8,999.00",395,3,78,$153.64 ,19.90%,HYUNDAI,ELANTRA,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.0L; DOHC",GASOLINE,"126,536",65,AUTOMATIC
3213,GREEN TAG,Budget Blvd,2511,1FAFP34P83W215535,SILVER,2003,"8,999.00",395,3,78,$153.64 ,19.90%,FORD,FOCUS,PASSENGER CAR,SEDAN,,"L4, 2.0L (121 CID); SOHC 8V; EFI-SPI",GASOLINE,"91,191",65,AUTOMATIC
3216,GREEN TAG,RWB Certified,1445,2T1BU4EE5BC713753,SILVER,2011,"14,999.00",699,3.5,91,$229.44 ,19.90%,TOYOTA,COROLLA,PASSENGER CAR,4 DOOR SEDAN,,"L4, 1.8L; DOHC 16V; VVT-I",GASOLINE,"105,884",65,AUTOMATIC
3218,GREEN TAG,Budget Blvd,2511,1FAHP3FN4BW158141,WHITE,2011,"9,999.00",395,3,78,$170.72 ,19.90%,FORD,FOCUS,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.0L; DOHC 16V",GASOLINE,"144,095",60,AUTOMATIC
